Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t,av_loop_gpu_t,av_loop_cpu_t,av_loop_gpu_cpu_t,av_loop_cpu_gpu_t
Naive,32,0.131138,0.130948,0.131956,0.104502,0.021332,0.005218,0.000079
Naive,64,0.131393,0.131086,0.132265,0.104648,0.021442,0.005217,0.000079
Naive,128,0.131686,0.131438,0.132451,0.104926,0.021460,0.005214,0.000078
Naive,256,0.131878,0.131569,0.132825,0.105173,0.021395,0.005225,0.000078
Naive,512,0.132299,0.132097,0.132992,0.105609,0.021385,0.005216,0.000082
Naive,1024,0.134549,0.134186,0.135613,0.107829,0.021416,0.005219,0.000079
Transpose,32,0.086461,0.086090,0.087053,0.026073,0.055091,0.005210,0.000079
Transpose,64,0.077389,0.077027,0.079584,0.017418,0.054679,0.005204,0.000080
Transpose,128,0.077309,0.076677,0.080218,0.016937,0.055068,0.005217,0.000079
Transpose,256,0.077180,0.076695,0.080071,0.016994,0.054886,0.005214,0.000078
Transpose,512,0.077318,0.076743,0.080888,0.017180,0.054839,0.005212,0.000079
Transpose,1024,0.078392,0.077725,0.080860,0.018043,0.055047,0.005215,0.000079
Shmem,32,0.090287,0.089909,0.091422,0.028951,0.056041,0.005209,0.000079
Shmem,64,0.082540,0.082156,0.083530,0.021150,0.056083,0.005220,0.000080
Shmem,128,0.075925,0.075208,0.080602,0.014691,0.055939,0.005206,0.000080
Shmem,256,0.075697,0.074952,0.080918,0.014336,0.056059,0.005215,0.000079
Shmem,512,0.076649,0.075990,0.080814,0.015283,0.056076,0.005204,0.000079
Shmem,1024,0.077818,0.077238,0.081161,0.016581,0.055942,0.005207,0.000081